"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","HAB_quality","FHI_herbivory","FHI_recreation","AC_culturalSignificance","FHI_flowRegulation","AQ_persistence","FHI_humanImpactRiskScore","meanConditionScore"
"1",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",1290097292,"7/12/2005","LE Stevens and RJ Johnson","Stevens et al. Level 2",9,100,5,5,5,6,3,4,3.875,4.15208
"2",585,"Oak Spring","Kaibab NF, North Kaibab RD",36.67734,-112.33707,2054,"hillslope",NA,1340128114,"6/16/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Anya Fayfer, Kyle Paffett, and Kumi Isobe","Stevens et al. Level 2",9,391,2,5,5,6,3,3,2.125,3.13333
"3",1270,"Campbell Road Spring","Coconino NF, Mogollon Rim RD",34.7475,-111.49703,2094,"hillslope","rheocrene",1355414884,"6/19/2012","Kyle Paffett and Jen Williams","Stevens et al. Level 2",6,540,4,5,4,6,5,4,2.25,3.52083
"4",331,"Crystal Spring","Kaibab NF, North Kaibab RD",36.38914,-112.09597,2682,"helocrene",NA,1291677445,"8/9/2010","Barb Phillips, Glenn Rink, Jack Pennington, Ann Litke, Don Witter, and Kimberly Hanson","Stevens/NPS 2000",8,110,9,5,4,6,1,3,3,3.775
"5",476,"Rock Spring Upper Bowl","Kaibab NF, North Kaibab RD",36.68374,-112.5719,1345,"hanging garden",NA,1262650726,"11/2/2009","Larry Stevens","Stevens et al. Level 2",7,121,5,5,5,6,6,3,2.125,4.0625
"6",368,"Watts Spring","Kaibab NF, North Kaibab RD",36.37939,-112.27579,2442,"hillslope",NA,-1761027419,"7/29/2010","C. Albano, G. Rink, B. Phillips, and K. Willard","Stevens/NPS 2000",8,187,2,5,5,6,2,3,2.875,3.41667
"7",604,"Table Rock Spring","Kaibab NF, North Kaibab RD",36.71172,-112.46383,1613,"hanging garden",NA,1305733932,"5/16/2011","L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter","Stevens et al. Level 2",9,207,3,3,5,6,2,4,3.25,3.47083
"8",603,"Pigeon Spring","Kaibab NF, North Kaibab RD",36.72411,-112.5094,1506,"hanging garden",NA,1906284758,"5/18/2011","L.E. Stevens, Jeri Ledbetter, Doug Miller, M. Schaar, and Glenn Rink","Stevens et al. Level 2",9,212,4,3,5,6,3,4,3.875,3.7625
"9",826,"Phragmites Unnamed Spring","Kaibab NF, North Kaibab RD",36.63205,-112.58805,1396,"hypocrene",NA,1306175483,"5/17/2011","Larry Stevens, Glenn Rink, and Megan Souter","Stevens et al. Level 2",6,215,5,5,5,6,6,3,2,3.97917
"10",464,"Slide Spring","Kaibab NF, North Kaibab RD",36.65794,-112.56237,1490,"rheocrene",NA,-1643174473,"5/19/2011","Glenn Rink, Jeri Ledbetter, Melissa Schaar, and Doug Miller","Stevens et al. Level 2",9,216,5,5,4,6,3,5,2.25,4.30625
"11",582,"Lower McDermit Spring","Kaibab NF, Williams RD",35.25786,-111.91766,2165,"helocrene","anthropogenic",865369475,"8/30/2011","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",9,229,2,4,5,5,1,1,3.625,2.16042
"12",752,"Isham Spring","Kaibab NF, Williams RD",35.19982,-112.04007,2072,"helocrene",NA,-1592898711,"8/29/2011","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",8,231,1,3,5,5,0,0,2.875,1.85625
"13",322,"Bear Lake","Kaibab NF, North Kaibab RD",36.37138,-112.14729,2775,"limnocrene",NA,1292614369,"8/1/2010","T McCall, G Rink, C Albano, and K Willard","Stevens/NPS 2000",9,248,5,4,4,6,6,5,2.5,4.31875
"14",367,"Warm Springs","Kaibab NF, North Kaibab RD",36.69452,-112.31196,2109,"cave",NA,-594581327,"6/28/2011","Larry Stevens, Dave Kreamer, Frank Romiglia, Phoebe Stevens, and Andrea Hazelton","Stevens et al. Level 2",9,260,3,5,5,6,2,4,3.125,3.15
"15",630,"Tilton Springs","Kaibab NF, North Kaibab RD",36.65883,-112.34017,2099,"rheocrene","hillslope",344223006,"6/27/2011","Larry Stevens, Dave Kreamer, Beep Jenkens, Andrea Hazelton, and Phoebe Stevens","Stevens et al. Level 2",8,261,4,5,6,6,2,3,2.875,4.09375
"16",586,"Oquer Spring","Kaibab NF, North Kaibab RD",36.52583,-112.24269,2550,"hillslope",NA,-1575642358,"6/28/2011","Glenn Rink, Lisa Schaller, Beep Jenkins, and Frank Romiglia","Stevens/NPS 2000",10,284,2,4,4,6,2,3,2.42857,3.65
"17",323,"Bee Spring","Kaibab NF, North Kaibab RD",36.45068,-112.31821,2388,"hillslope",NA,571,"6/30/2000","RJ Johnson, Nathan Zorich, and Zeke Lauck","Stevens/NPS 2000",8,293,1,4,1,6,1,3,2.875,1.88542
"18",729,"Mud Springs","Kaibab NF, Williams RD",35.11495,-112.1868,2115,"helocrene","anthropogenic",-2045375229,"5/10/2012","Larry Stevens, Jeri Ledbetter, Anya Fayfer, and Marguerite Hendrie","Stevens et al. Level 2",10,345,4,4,5,6,3,2,3.125,3.07917
"19",588,"Rosilda Spring","Kaibab NF, Williams RD",35.17467,-112.06092,2051,"helocrene","anthropogenic",1337612448,"5/12/2012","Larry Stevens, Jeri Ledbetter, Marguerite Hendrie, Anya Fayfer, and Vera Markgraf","Stevens et al. Level 2",9,347,4,5,5,6,2,3,2.875,3.50208
"20",739,"Big Spring","Kaibab NF, Williams RD",35.15812,-112.08072,2088,"hillslope",NA,-1863225394,"5/12/2012","Jeri Ledbetter, Marguerite Hendrie, Anya Fayfer, and Vera Markgraf","Stevens et al. Level 2",10,349,4,3,5,6,4,9,2.625,3.8625
"21",330,"Crane Lake","Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,"limnocrene",NA,630,"6/21/2001","L.E. Stevens, M. Erhart, Lindsey from USU, E. North, and R.J. Johnson","Stevens/NPS 2000",9,379,5,3,4,6,6,1,2.25,4.31667
"22",19150,"Cane Aqueduct Spring","Kaibab NF, North Kaibab RD",36.58284,-112.04753,1891,"cave","anthropogenic",1354802492,"7/15/2005","L.E. Stevens, R.J. Johnson, Shondeen Griswold","Stevens et al. Level 2",9,531,2,4,4,6,2,4,2.75,3.6875
"23",72,"Foster Spring","Coconino NF, Mogollon Rim RD",34.77362,-111.50602,2127,"hillslope",NA,1174033049,"9/5/2013","Larry Stevens, Jeri Ledbetter, Chris Canavan, Maryann McGraw, Shelly Barnes, David Jackson, Nita Tallent, Gibbey Simion","Stevens et al. Level 2",4,1020,3,2,5,6,5,5,2.9,3.9
